Original: emit , predicted 1st: close|close|close
Original: _set_screen , predicted 1st: __init__|__init__|<S>|__init__|setUp|setUp
Original: _set_error_file , predicted 1st: __init__|__init__|<S>|__init__|setUp|setUp
Original: _set_access_file , predicted 1st: __init__|__init__|<S>|__init__|setUp|setUp
Original: _set_wsgi , predicted 1st: __init__|__init__|<S>|__init__|__new__|__getattr__
Original: subscribe , predicted 1st: __init__|__init__
Original: _handle_signal , predicted 1st: __init__|__init__|_encode_params|_encode_params|__init__|_encode_params|__init__
Original: _set_uid , predicted 1st: __init__|start|setup|register_hook|reset
Original: _set_gid , predicted 1st: __init__|__init__|<S>|from_wire|from_wire|from_wire|apply
Original: _set_umask , predicted 1st: __init__|__init__|__init__|setUp|setUp|setUp|__init__
Original: start , predicted 1st: load|__getslice__|__getslice__|__getslice__|__getslice__|__getslice__|__getslice__
Original: __init__ , predicted 1st: got_enough_data|__init__|__new__
Original: cancel , predicted 1st: _set_bind_addr|start|setup|from_wire
Original: stop , predicted 1st: close
Original: sysfiles , predicted 1st: close|close|close|get|get|get|get
Original: erase_script_name , predicted 1st: close|close|close|get|get|get
Original: setup_server , predicted 1st: test|__init__|__init__|get
Original: setup_server , predicted 1st: test|__init__|__init__|get
Original: setup_server , predicted 1st: test|__init__|__init__|get
Original: index , predicted 1st: __init__|start|__init__|setUp|__init__|setUp|setUp
Original: ntob , predicted 1st: __init__|__init__|get
Original: plat_specific_errors , predicted 1st: from_wire
Original: close , predicted 1st: reset|__init__|__init__|__getitem__|__getitem__|publish|__getitem__
Original: write , predicted 1st: reset|__init__|build|publish|__new__|load_app|close
Original: CP_makefile , predicted 1st: close|close
Original: communicate , predicted 1st: __init__|__init__|__init__|get|get|touni|touni
Original: __add__ , predicted 1st: __init__|__init__|get|get|touni|touni|touni
Original: _get_idle , predicted 1st: __init__|__init__|start|close|close
Original: _get_qsize , predicted 1st: __init__|__init__|__getitem__|run_migrations_online|run_migrations_online|from_text
Original: stop , predicted 1st: __init__|__init__|get|get
Original: wrap , predicted 1st: close|close|close|close|close|close|close
Original: _set_bind_addr , predicted 1st: __new__|__new__|__getattr__|__getattr__|__getattr__|keys|setUp
Original: _set_interrupt , predicted 1st: __init__|__init__|__init__|setUp|setUp|__init__|setUp
Original: get_ssl_adapter_class , predicted 1st: close|close|close|get|get|get|get
Original: _set_numthreads , predicted 1st: __init__|__init__|<S>|__init__|setUp|setUp
Original: start_response , predicted 1st: __init__|__init__|__init__|setUp|setUp|__init__|setUp
Original: _unpack_C , predicted 1st: start|setup|__init__
Original: test , predicted 1st: query|wsgi|query|pop|apply|pop|pop
Original: readme , predicted 1st: <S>|__init__|start|__init__|setUp|__init__
Original: flags_from_text_set , predicted 1st: set_cert|setup|load|load|__next__|getunicode|from_text
Original: from_text , predicted 1st: 
Original: from_wire , predicted 1st: apply|apply|index|main|decode|build|copy
Original: from_text , predicted 1st: 
Original: from_wire , predicted 1st: apply|apply|index|main|decode|build|copy
Original: zone_for_name , predicted 1st: close|close|close|close|close|close|close
Original: add_representer , predicted 1st: __init__|__init__|redirect
Original: add_multi_representer , predicted 1st: __init__|__init__|redirect
Original: represent_long , predicted 1st: close|close|close
Original: represent_yaml_object , predicted 1st: close
Original: represent_instance , predicted 1st: close|close
Original: test_Request_token_request_succeeds_with_valid_request_token_parameters , predicted 1st: close|close|close|get|get|get|register_hook
Original: test_post_using_auth_in_header_with_content_type_json_and_PLAINTEXT , predicted 1st: close|close|close|get|get|get|register_hook
Original: __init__ , predicted 1st: __init__|__init__|__init__|get
Original: loadFont , predicted 1st: reset|query|query|pop|apply|from_wire|from_wire
Original: getDirection , predicted 1st: __init__|__init__|__getitem__|run_migrations_online|run_migrations_online|from_text
Original: getJustify , predicted 1st: __init__|__init__|__getitem__|run_migrations_online|run_migrations_online|from_text
Original: main , predicted 1st: read|read|__len__|__len__|__len__
Original: __init__ , predicted 1st: close|close|close|get|get|get|register_hook
Original: _should_reset , predicted 1st: close|close|close|close|close|close
Original: _set_position , predicted 1st: __init__|__init__|<S>|__init__|setUp|setUp
Original: set_get_offsets , predicted 1st: __init__|<S>|__init__|from_wire|from_wire
Original: release_attributes , predicted 1st: __init__|<S>|__init__|from_wire|from_wire
Original: _set_option_names , predicted 1st: __init__|__init__|setUp|setUp|__init__|setUp|setUp
Original: _set_selected_option , predicted 1st: __init__|__init__|<S>|__init__|setUp|setUp
Original: _get_display_string , predicted 1st: close|close|close|get|get|get|get
Original: tracks_to_use_from_song , predicted 1st: close|close|close|get|get|get|get
Original: _get_settings , predicted 1st: reset|__init__|pop|pop|pop|pop|pop
Original: _update_display , predicted 1st: close|close|close
Original: _set_mode , predicted 1st: __init__|__init__|__getitem__|__delattr__|got_enough_data|load_app
Original: __init__ , predicted 1st: read_headers|publish|read_headers|read_headers|_make_callback|_make_callback|pop
Original: _do_scroll , predicted 1st: close|close|close
Original: profiling , predicted 1st: close|close|close|close
Original: led_brightness_encoder , predicted 1st: close|close|close|close
Original: gain_encoder , predicted 1st: close|close|close|close|close|close|close
Original: track_color_with_pending_stop , predicted 1st: close|close|close|get|get|get|register_hook
Original: connect_to , predicted 1st: close|close|close|get|get|get|get
Original: _combo_is_on , predicted 1st: close|close|close|close
Original: send_value , predicted 1st: close|close|close|get|get|get|get
Original: breaking_double_press , predicted 1st: close|close|close|close
Original: single_press , predicted 1st: close|close|close|get|get|get|register_hook
Original: handle_ownership_change , predicted 1st: __init__|__init__|__init__|setUp|setUp|__init__|setUp
Original: proxied_interface , predicted 1st: close|close
Original: collect_listenable_properties , predicted 1st: close|close|close
Original: __getstate__ , predicted 1st: close|close|close
Original: register_slot , predicted 1st: close|close|close|get|get|get|get
Original: _set_listener , predicted 1st: __init__|start|close
Original: __init__ , predicted 1st: close|close
Original: has_subject , predicted 1st: close|close|close|get|get|get|register_hook
Original: listens , predicted 1st: close|close|close|get|get|get|register_hook
Original: __ne__ , predicted 1st: close|close|close|get|get|get|register_hook
Original: turn_on , predicted 1st: close|close|close|close
Original: quantize_amount_to_string , predicted 1st: close|close|close|close|close|close
Original: __on_record_quantization_changed , predicted 1st: close|close|close|close|get|get|get
Original: _set_option_names , predicted 1st: __init__|__init__|setUp|setUp|__init__|setUp|setUp
Original: _set_selected_option , predicted 1st: __init__|__init__|<S>|__init__|setUp|setUp
Original: _get_display_string , predicted 1st: close|close|close|get|get|get|get
Original: _set_playhead_color , predicted 1st: __init__|__init__|<S>|__init__|setUp|setUp
Original: set_logging , predicted 1st: close|close|close|close|close|close|close
Original: jloads , predicted 1st: __init__|__init__|__init__|__getitem__|__getitem__|publish|__getitem__
Original: feed , predicted 1st: close|close|close|close
Original: __getattr__ , predicted 1st: close|close|close|get|get|get|register_hook
Original: _notify , predicted 1st: __init__|__init__|__init__|get|get|touni|touni
Original: register , predicted 1st: __init__|__init__|_encode_params|__init__|_encode_params|__init__
Original: startDocument , predicted 1st: close|close|close
Original: register_treebuilders_from , predicted 1st: close|get|get|get
Original: comment , predicted 1st: close|close|close|close
Original: singleDownload , predicted 1st: close|close|pop|pop|apply|pop|pop
Original: setAttributes , predicted 1st: __init__|__init__|<S>|__init__|setUp|setUp
Original: getNameTuple , predicted 1st: __init__|__init__|__getitem__|run_migrations_online|run_migrations_online|from_text
Original: __init__ , predicted 1st: __init__|peek|peek|index|peek|index|index
Original: main , predicted 1st: setup_server|decode|_get_kwargs|<S>|test
Original: _alias , predicted 1st: __init__|__init__|__getitem__
Original: __new__ , predicted 1st: __init__|__init__|__init__|get|redirect
Original: setup , predicted 1st: close|close|close
Original: replace_with , predicted 1st: close|close|close|get|get|get|register_hook
Original: unwrap , predicted 1st: close|close|close
Original: _last_descendant , predicted 1st: close|close|close|get|get|get|register_hook
Original: find_next , predicted 1st: close|close|close|get|get|get|register_hook
Original: find_all_next , predicted 1st: close|close|close|get|get|get|register_hook
Original: find_next_sibling , predicted 1st: close|close|close|get|get|get|register_hook
Original: find_next_siblings , predicted 1st: close|close|close
Original: find_previous , predicted 1st: close|close|close|get|get|get|register_hook
Original: find_all_previous , predicted 1st: close|close|close
Original: find_previous_sibling , predicted 1st: close|close|close|get|get|get|register_hook
Original: find_previous_siblings , predicted 1st: close|close|close
Original: find_parent , predicted 1st: close|close|close|get|get|get|register_hook
Original: find_parents , predicted 1st: close|close|close
